ID,PNC,Product,Model,Brand,Approval_Mark,Country_Made_In,EAN13_Code,Product_Address,Color
246,943006381,Gas Cooker,EKG613A1OX,ELECTROLUX,E6,Made in Egypt,7332543535262,Electrolux EGYPT,INOX
247,943006382,Gas Cooker,ZCG62496XA,ZANUSSI,,Made in Egypt,7332543537617,Electrolux EGYPT,INOX
248,943006383,Gas Cooker,ZCG92496XA,ZANUSSI,,Made in Egypt,7332543537655,Electrolux EGYPT,INOX
249,943006384,Gas Cooker,10369MN-MN,AEG,,Made in A.R.E.,7332543537624,Electrolux EGYPT,INOX
250,943006385,Gas Cooker,10369GN-MN,AEG,,Made in A.R.E.,7332543537662,Electrolux EGYPT,INOX
251,943006386,Gas Cooker,10366MM-MN,AEG,,Made in A.R.E.,7332543537631,Electrolux EGYPT,INOX
252,943006387,Gas Cooker,10306GM-MN,AEG,,Made in A.R.E.,7332543537648,Electrolux EGYPT,INOX
253,943006388,Gas Cooker,ZCG62226XA,ZANUSSI,,Made in Egypt,7332543541416,Electrolux EGYPT,INOX
254,943006389,Gas Cooker,ZCG92226XA,ZANUSSI,,Made in Egypt,7332543541423,Electrolux EGYPT,INOX
255,943006390,Gas Cooker,FNGB90JFUW,FRIGIDAIRE,E6,Made in Egypt,7332543576319,Electrolux EGYPT,White
256,943006393,??????? ???,EKG913A2OX,ELECTROLUX,,??? ?? ???,7332543550500,Electrolux EGYPT,INOX
257,943006396,??????? ???,GCG91226XA,Gibson,E6,??? ?? ???,1240000008319,Electrolux EGYPT,INOX
258,943006397,??????? ???,GCG91326XA,Gibson,,??? ?? ???,7332543550548,Electrolux EGYPT,INOX
259,943006400,??????? ???,FNGE90JFRS,FRIGIDAIRE,,??? ?? ???,7332543550593,Electrolux EGYPT,INOX
260,943006401,??????? ???,FNGC90JSRS,FRIGIDAIRE,,??? ?? ???,7332543550562,Electrolux EGYPT,INOX
261,943006402,??????? ???,KGW9JATSOL,Kelvinator,,??? ?? ???,1240000008340,Electrolux EGYPT,INOX
262,943006403,??????? ???,EKG912A1OX,ELECTROLUX,,??? ?? ???,7332543557868,Electrolux EGYPT,INOX
263,943006405,Gas Cooker,GCG91426XA,Gibson,,Made in Egypt,7332543557981,Electrolux EGYPT,INOX
264,943006406,??????? ???,WNGH90JGUS,WHITE WESTINGHOUSE,E6,??? ?? ???,7332543561117,Electrolux EGYPT,INOX
265,943006407,??????? ???,WNGB90JGUS,WHITE WESTINGHOUSE,E6,??? ?? ???,1240000010008,Electrolux EGYPT,INOX
266,943006408,Gas Cooker,ZCG61026XA,ZANUSSI,,Made in Egypt,7332543598465,Electrolux EGYPT,INOX
267,943006411,??????? ???,ZCG61036XA,ZANUSSI,E6,??? ?? ?.?.?,7332543604395,Electrolux EGYPT,INOX
268,943006418,Gas Cooker,ZCG61016WA,ZANUSSI,E6,Made in Egypt,7332543599790,Electrolux EGYPT,WHITE
269,943006419,Gas Cooker,ZCG61016XA,ZANUSSI,E6,Made in Egypt,7332543599806,Electrolux EGYPT,INOX
270,943006420,??????? ???,AKG601A1OX,Arthur Martin,CM,??? ?? ?.?.?,7332543608898,Electrolux EGYPT,INOX
271,943006421,??????? ???,AKG601A1OW,Arthur Martin,CM,??? ?? ?.?.?,7332543608904,Electrolux EGYPT,WHITE
272,943006422,Gas Cooker,WNGJ60JGUW,WHITE WESTINGHOUSE,E6,Made in Egypt,7332543599813,Electrolux EGYPT,WHITE
273,943006423,Gas Cooker,FNFJ60JGUC,FRIGIDAIRE,,Made in Egypt,7332543599820,Electrolux EGYPT,INOX
274,943006424,??????? ???,WNGJ60JGUP,WHITE WESTINGHOUSE,,??? ?? ???,7332543604463,Electrolux EGYPT,INOX
275,943006425,Gas Cooker,EKG611A1OX,ELECTROLUX,E6,Made in Egypt,7332543604173,Electrolux EGYPT,INOX
276,943006426,Gas Cooker,GNGJ60JGUC,Gibson,E6,Made in Egypt,7332543600793,Electrolux EGYPT,INOX
277,943006427,Gas Cooker,WNGJ60JGUC,WHITE WESTINGHOUSE,E6,Made in Egypt,7332543604180,Electrolux EGYPT,INOX
278,943006428,??????? ???,GNFJ60JGUW,Gibson,,??? ?? ???,7332543599837,Electrolux EGYPT,White
279,943006429,??????? ???,GNGB60JGUC,Gibson,,??? ?? ???,1240000008302,Electrolux EGYPT,INOX
280,943006437,Gas Cooker,ZCG91016XA,ZANUSSI,,Made in Egypt,7332543644742,Electrolux EGYPT,INOX
281,943006438,Gas Cooker,ZCG912A6XA,ZANUSSI,,Made in Egypt,7332543644759,Electrolux EGYPT,INOX
282,943006440,Gas Cooker,FNGJ90JGVW,FRIGIDAIRE,E6,Made in Egypt,7332543644766,Electrolux EGYPT,White
283,943006441,Gas Cooker,GNGJ90JGVC,Gibson,E6,Made in Egypt,7332543644773,Electrolux EGYPT,INOX
284,943006442,??????? ???,WNGJ90JGVP,WHITE WESTINGHOUSE,E6,??? ?? ???,7332543644780,Electrolux EGYPT,INOX
285,943006443,Gas Cooker,FNGJ90JGVP,FRIGIDAIRE,E6,Made in Egypt,7332543644797,Electrolux EGYPT,INOX
286,943006444,Gas Cooker,ZCG91006XA,ZANUSSI,E6,Made in Egypt,7332543644100,Electrolux EGYPT,INOX
287,943006445,Gas Cooker,WNGH90JGVC,WHITE WESTINGHOUSE,E6,Made in Egypt,7332543644117,Electrolux EGYPT,INOX
288,943006455,??????? ???,AKG611A3OX,Arthur Martin,CM,??? ?? ?.?.?,7332543613434,Electrolux EGYPT,INOX
289,943006456,??????? ???,AKG633A7OX,Arthur Martin,CM,??? ?? ?.?.?,7332543613441,Electrolux EGYPT,INOX
290,943006457,??????? ???,AKG911A3OW,Arthur Martin,CM,??? ?? ?.?.?,7332543613458,Electrolux EGYPT,WHITE
291,943006458,??????? ???,AKG911A5OX,Arthur Martin,CM,??? ?? ?.?.?,7332543613465,Electrolux EGYPT,INOX
292,943006459,??????? ???,AKG933A7OX,Arthur Martin,,??? ?? ???,7332543613472,Electrolux EGYPT,INOX
293,943006460,Gas Cooker,CKB901A4BM,AEG,,Made in A.R.E.,7332543631421,Electrolux EGYPT,INOX
294,943006462,Gas Cooker,CKB600A4BM,AEG,,Made in A.R.E.,7332543621934,Electrolux EGYPT,INOX
295,943006466,Gas Cooker,ZCG62356XA,ZANUSSI,,Made in Egypt,7332543628766,Electrolux EGYPT,INOX
296,943006467,Gas Cooker,ZCG92356XA,ZANUSSI,,Made in Egypt,7332543628773,Electrolux EGYPT,INOX
297,943006470,Gas Cooker,ZCG64216XA,ZANUSSI,,Made in Egypt,7332543631438,Electrolux EGYPT,INOX
298,943006473,Gas Cooker,WNGO90JGVP,WHITE WESTINGHOUSE,E6,Made in Egypt,7332543638673,Electrolux EGYPT,INOX
299,943006474,Gas Cooker,FNGD90JWVS,FRIGIDAIRE,,Made in Egypt,7332543657384,Electrolux EGYPT,INOX
300,943006476,Gas Cooker,FOMN90JWVS,FRIGIDAIRE,,Made in Egypt,7332543657391,Electrolux EGYPT,INOX
301,943006477,Gas Cooker,EKG611A1OX,ELECTROLUX,E6,Made in Egypt,7332543633654,Electrolux EGYPT,INOX
302,943006478,Gas Cooker,EKG6000A0X,ELECTROLUX,E6,Made in Egypt,7332543655960,Electrolux EGYPT,INOX
303,943006479,Gas Cooker,WNGJ60JNVC,WHITE WESTINGHOUSE,E6,Made in Egypt,7332543655977,Electrolux EGYPT,INOX
304,943006480,Gas Cooker,ZCG61046XA,ZANUSSI,E6,Made in Egypt,7332543655984,Electrolux EGYPT,INOX
305,943006487,??????? ???,AKG9241Z5X,Arthur Martin,E6,??? ?? ?.?.?,7332543734603,Electrolux EGYPT,INOX
306,943006488,??????? ???,CGB923Z5CM,AEG,E6,??? ?? ???,7332543734610,Electrolux EGYPT,INOX
307,943006489,Gas Cooker,CKB943Z5CM,AEG,,Made in Egypt,7332543734627,Electrolux EGYPT,INOX
308,943006492,Gas Cooker,FNGJ60JGUC,FRIGIDAIRE,,Made in Egypt,7332543693818,Electrolux EGYPT,INOX
309,943006493,??????? ???,AKG6000A1Y,Arthur Martin,E6,??? ?? ?.?.?,7332543699575,Electrolux EGYPT,BLACK
310,943006494,??????? ???,ZCG61056BA,ZANUSSI,E6,??? ?? ?.?.?,7332543706433,Electrolux EGYPT,BLACK
311,943006495,Gas Cooker,CKB901A4BM,AEG,,Made in A.R.E.,7332543631421,Electrolux EGYPT,INOX
312,943006496,Gas Cooker,WNGO90JGWP,WHITE WESTINGHOUSE,E6,Made in Egypt,7332543700899,Electrolux EGYPT,INOX
313,943006497,Gas Cooker,CKB600A4BM,AEG,,Made in A.R.E.,7332543621934,Electrolux EGYPT,INOX
314,943006498,??????? ???,GNGB90JGWC,Gibson,,??? ?? ???,1240000008333,Electrolux EGYPT,INOX
315,943006501,??????? ???,GNGJ90JGWC,Gibson,E6,??? ?? ???,1240000008326,Electrolux EGYPT,INOX
316,943006502,Gas Cooker,ZCG622A6XA,ZANUSSI,,Made in Egypt,7332543734658,Electrolux EGYPT,INOX
317,943006504,Gas Cooker,ZCG623A6XA,ZANUSSI,,Made in Egypt,7332543809769,Electrolux EGYPT,INOX
318,943006505,Gas Cooker,ZCG923A6XA,ZANUSSI,,Made in Egypt,7332543809776,Electrolux EGYPT,INOX
319,943006506,Gas Cooker,FNGD90JWWS,FRIGIDAIRE,,Made in Egypt,7332543734672,Electrolux EGYPT,INOX
320,943006507,Gas Cooker,FOMN90JWWS,FRIGIDAIRE,,Made in Egypt,7332543734689,Electrolux EGYPT,INOX
321,943006508,Gas Cooker,FNGB90JFXS,FRIGIDAIRE,,Made in Egypt,7332543751570,Electrolux EGYPT,INOX
322,943006509,??????? ???,EKG9000A3X,ELECTROLUX,,??? ?? ???,7332543754557,Electrolux EGYPT,INOX
323,943006510,Gas Cooker,GNGO90JGWC,Gibson,,Made in Egypt,7332543757466,Electrolux EGYPT,BLACK
324,943006511,Gas Cooker,10369MN-MN,AEG,F1,Made in A.R.E.,7332543537624,Electrolux EGYPT,INOX
325,943006512,Gas Cooker,10366MM-MN,AEG,,Made in A.R.E.,7332543789870,Electrolux EGYPT,INOX
326,943006513,Gas Cooker,CKB901A4BM,AEG,,Made in A.R.E.,7332543807529,Electrolux EGYPT,Black
327,943006514,Gas Cooker,CKB600A4BB,AEG,,Made in A.R.E.,7332543807758,Electrolux EGYPT,Black
328,943006515,??????? ???,EKG9241Z9X,ELECTROLUX,,??? ?? ???,7332543791514,Electrolux EGYPT,INOX
329,943006516,Gas Cooker,EKG9000A4X,ELECTROLUX,,Made in Egypt,7332543782802,Electrolux EGYPT,INOX
330,943006517,Gas Cooker,EKG9241Z7X,ELECTROLUX,,Made in Egypt,7332543791521,Electrolux EGYPT,INOX
331,943006518,Gas Cooker,EKG9000G9U,ELECTROLUX,,Made in Egypt,7332543807345,Electrolux EGYPT,INOX
332,943006519,Gas Cooker,EKG9000G9X,ELECTROLUX,,Made in Egypt,7332543807352,Electrolux EGYPT,INOX
333,943006520,Gas Cooker,EKG9200A9X,ELECTROLUX,,Made in Egypt,7332543807369,Electrolux EGYPT,INOX
334,943006521,Gas Cooker,EKG6000G6W,ELECTROLUX,,Made in Egypt,7332543807376,Electrolux EGYPT,WHITE
335,943006522,Gas Cooker,EKG6000G6Y,ELECTROLUX,,Made in Egypt,7332543806072,Electrolux EGYPT,BLACK
336,943006524,Gas Cooker,FNGN90JEYS,FRIGIDAIRE,E6,Made in Egypt,7332543815593,Electrolux EGYPT,INOX
337,943006525,??????? ???,FNGN90JGYS,FRIGIDAIRE,,??? ?? ???,1240000008357,Electrolux EGYPT,INOX
338,943006526,??????? ???,FNGB90JGYP,FRIGIDAIRE,,??? ?? ???,1240000008364,Electrolux EGYPT,INOX
339,943006527,??????? ???,FNGC90JGRS,FRIGIDAIRE,,??? ?? ???,1240000008388,Electrolux EGYPT,INOX
340,943006528,Gas Cooker,ZCG97326XA,ZANUSSI,,Made in Egypt,7332543846740,Electrolux EGYPT,INOX
341,943006529,Gas Cooker,FNGP60JGBS,FRIGIDAIRE,,Made in Egypt,7332543846276,Electrolux EGYPT,INOX
342,943006530,Gas Cooker,FOMN90JGBS,FRIGIDAIRE,,Made in Egypt,7332543846719,Electrolux EGYPT,INOX
343,943006531,Gas Cooker,FNGN90JGBS,FRIGIDAIRE,,Made in Egypt,7332543846726,Electrolux EGYPT,INOX
344,943006532,Gas Cooker,ZCK67326XA,ZANUSSI,,Made in Egypt,7332543846900,Electrolux EGYPT,INOX
345,943006541,??????? ???,AKG611A3OX,Arthur Martin,E6,??? ?? ?.?.?,7332543847204,Electrolux EGYPT,INOX
346,943006544,??????? ???,ZCG92296XA,ZANUSSI,E6,??? ?? ?.?.?,7332543847044,Electrolux EGYPT,INOX
347,943006549,Gas Cooker,CKB901A4BM,AEG,,Made in A.R.E.,7332543807529,Electrolux EGYPT,Black
348,943006550,Gas Cooker,CKB943Z5CM,AEG,,Made in Egypt,7333394010694,Electrolux EGYPT,INOX
349,943006551,Gas Cooker,10369MN-MN,AEG,,Made in Egypt,7333394010700,Electrolux EGYPT,INOX
350,943006553,??????? ???,FNGJ90JGZP,FRIGIDAIRE,E6,??? ?? ???,1240000009224,Electrolux EGYPT,BLACK
351,943006556,Gas Cooker,EKK6251Z9X,ELECTROLUX,,Made in Egypt,7333394010090,Electrolux EGYPT,INOX
352,943006557,Gas Cooker,EKK9251Z9X,ELECTROLUX,,Made in Egypt,7333394010106,Electrolux EGYPT,INOX
353,943006558,Gas Cooker,EKK9241Z9X,ELECTROLUX,,Made in Egypt,7333394010106,Electrolux EGYPT,INOX
354,943006559,Gas Cooker,EKG9010Z9X,ELECTROLUX,F1,Made in Egypt,7332543997145,Electrolux EGYPT,INOX
355,943006560,??????? ???,EKG9000A5X,ELECTROLUX,,??? ?? ???,7333394009506,Electrolux EGYPT,INOX
356,943006561,??????? ???,CGB923Z5CM,AEG,,??? ?? ???,7333394009698,Electrolux EGYPT,INOX
357,943006562,Gas Cooker,EKK6400Z9X,ELECTROLUX,,Made in Egypt,7333394011042,Electrolux EGYPT,INOX
358,943006563,??????? ???,10369GN-MN,AEG,,??? ?? ???,7333394033525,Electrolux EGYPT,INOX
359,943006564,??????? ???,10306GM-MN,AEG,,??? ?? ???,7333394033532,Electrolux EGYPT,INOX
360,943006565,??????? ???,10369MN-MN,AEG,G-Mark,??? ?? ???,7333394033549,Electrolux EGYPT,INOX
361,943006566,??????? ???,10366MM-MD,AEG,G-Mark,??? ?? ???,7333394033556,Electrolux EGYPT,INOX
362,943006567,??????? ???,CGB943Z6CM,AEG,G-Mark,??? ?? ???,7333394033839,Electrolux EGYPT,INOX
363,943006568,??????? ???,10369GN-MN,AEG,E6,??? ?? ???,7333394033563,Electrolux EGYPT,INOX
364,943006569,??????? ???,10306GM-MN,AEG,E6,??? ?? ???,7333394033570,Electrolux EGYPT,INOX
365,943006570,??????? ???,10369MN-MN,AEG,G-Mark,??? ?? ???,7333394033587,Electrolux EGYPT,INOX
366,943006571,??????? ???,10366MM-MD,AEG,G-Mark,??? ?? ???,7333394033594,Electrolux EGYPT,INOX
367,943006572,??????? ???,CGB943Z6CM,AEG,G-Mark,??? ?? ???,7333394033846,Electrolux EGYPT,INOX
368,943006581,??????? ???,CGB943Z6CM,AEG,E6,??? ?? ???,7333394033853,Electrolux EGYPT,INOX
369,943006582,??????? ???,PNGJ30JGWS,Philco,E6,??? ?? ???,1240000015812,Electrolux EGYPT,INOX
